ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
1879,1879,kamoi,sun1580,false,expert,Chacon2018,,,Chacon2018
1880,1880,kamoĩ,sun1580,false,expert,Chacon2018,,,Chacon2018
1881,1881,kamoĩ,sun1580,false,expert,Chacon2018,,,Chacon2018
1882,1882,kamoi,sun1580,false,expert,Chacon2018,,,Chacon2018
1883,1883,ɐhkoapejtɛ,sun1584,false,expert,Chacon2018,,,Chacon2018
1884,1884,kamoi,sun1580,false,expert,Chacon2018,,,Chacon2018
1885,1885,kamoi,sun1580,false,expert,Chacon2018,,,Chacon2018
1886,1886,keːɾi,sun1579,false,expert,Chacon2018,,,Chacon2018
1887,1887,heri,sun58,false,expert,Chacon2018,,,Chacon2018
1888,1888,kamui,sun1580,false,expert,Chacon2018,,,Chacon2018
1889,1889,kamoi,sun1580,false,expert,Chacon2018,,,Chacon2018
1890,1890,heːri,sun58,false,expert,Chacon2018,,,Chacon2018
1891,1891,patʃiaɽɔ,sun1590,false,expert,Chacon2018,,,Chacon2018
1892,1892,nuiʂakawa,swellup1591,false,expert,Chacon2018,n   u   i   ʂ   -   a   k   a   w   a   -   -,,Chacon2018
1893,1893,ɽiʃakadapɛ,swellup1591,false,expert,Chacon2018,ɽ   -   i   ʃ   -   a   k   a   d   a   p   ɛ,,Chacon2018
1894,1894,ɽiːʂakawa,swellup1591,false,expert,Chacon2018,ɽ   -   i ː   ʂ   -   a   k   a   w   a   -   -,,Chacon2018
1895,1895,ɽiʃakawa,swellup1591,false,expert,Chacon2018,ɽ   -   i   ʃ   -   a   k   a   w   a   -   -,,Chacon2018
1896,1896,ɽiʃakawa,swellup1591,false,expert,Chacon2018,ɽ   -   i   ʃ   -   a   k   a   w   a   -   -,,Chacon2018
1897,1897,dihanipɛ,swellup1591,false,expert,Chacon2018,d   -   i   h   -   a   n   i   p   ɛ   -   -,,Chacon2018
1898,1898,iːsrakaida,swellup1591,false,expert,Chacon2018,-   -   i ː   s   ɾ   a   k   a   i   d   a   -,,Chacon2018
1899,1899,iːsrakethi,swellup1591,false,expert,Chacon2018,-   -   i ː   s   ɾ   a   k   e   t ʰ   i   -   -,,Chacon2018
1900,1900,israketi,swellup1591,false,expert,Chacon2018,-   -   i   s   ɾ   a   k   e   t   i   -   -,,Chacon2018
1901,1901,iːsraketi,swellup1591,false,expert,Chacon2018,-   -   i ː   s   ɾ   a   k   e   t   i   -   -,,Chacon2018
1902,1902,jaɽhə̃,swellup1600,false,expert,Chacon2018,,,Chacon2018
1903,1903,waʂiakawa,swim102,false,expert,Chacon2018,(   w   a   )   -   -   ʂ   i   a   k   a   w   a,,Chacon2018
1904,1904,wáʂiaka,swim102,false,expert,Chacon2018,(   w   a   )   -   -   ʂ   i   a   k   a   -   -,,Chacon2018
1905,1905,nuaʂaka,swim102,false,expert,Chacon2018,(   n   u   )   a   -   ʂ   -   a   k   a   -   -,,Chacon2018
1906,1906,nuahãkawa,swim103,false,expert,Chacon2018,n   u   a   h   ã   k   a   w   a,,Chacon2018
1907,1907,maaʃakawa,swim102,false,expert,Chacon2018,(   m   a ː   )   -   -   ʃ   -   a   k   a   w   a,,Chacon2018
1908,1908,naihanã,swim103,false,expert,Chacon2018,n   a   i   h   a   n   ã   -   -,,Chacon2018
1909,1909,hiñakada,swim103,false,expert,Chacon2018,# N A M E ?,,Chacon2018
1910,1910,anʰaketi,swim103,false,expert,Chacon2018,-   -   a   n ʰ   a   k   e   t   i,,Chacon2018
1911,1911,jasraːketi,swim102,false,expert,Chacon2018,(   y   a   )   -   -   s   ɾ   a ː   k   e   t   i,,Chacon2018
1912,1912,liaisraːko,swim102,false,expert,Chacon2018,(   l   i   )   a   i   s   ɾ   a ː   k   o   -   -,,Chacon2018
1913,1913,ɽiaʂakawa,swim102,false,expert,Chacon2018,(   ɽ   i   )   a   -   ʂ   -   a   k   a   w   a,,Chacon2018
1914,1914,jabɛdapi,swim1610,false,expert,Chacon2018,,,Chacon2018
1915,1915,ɽiepipe,tail1621,false,expert,Chacon2018,ɽ   i   e   p   i   p   e,,Chacon2018
1916,1916,ɾitíʈi,tail1621,false,expert,Chacon2018,ɾ   -   i   t   í   t   i,,Chacon2018
1917,1917,ɾitípi,tail1621,false,expert,Chacon2018,ɾ   i   -   t   í   p   i,,Chacon2018
1918,1918,ɽiphiːpi,tail1621,false,expert,Chacon2018,ɽ   i   -   p ʰ   i ː   p   i,,Chacon2018
1919,1919,ɽitipi,tail1621,false,expert,Chacon2018,ɽ   i   -   t   i   p   i,,Chacon2018
1920,1920,ɽitipi,tail1621,false,expert,Chacon2018,ɽ   i   -   t   i   p   i,,Chacon2018
1921,1921,lipitsi,tail1621,false,expert,Chacon2018,l   i   -   p   i   t s   i,,Chacon2018
1922,1922,liːtiphi,tail1621,false,expert,Chacon2018,l   -   i ː   t   i   p ʰ   i,,Chacon2018
1923,1923,liːtiphi,tail1621,false,expert,Chacon2018,l   -   i ː   t   i   p ʰ   i,,Chacon2018
1924,1924,liːtipi,tail1621,false,expert,Chacon2018,l   -   i ː   t   i   p   i,,Chacon2018
1925,1925,liːtipi,tail1621,false,expert,Chacon2018,l   -   i ː   t   i   p   i,,Chacon2018
1926,1926,risi,tail1621,false,expert,Chacon2018,ɾ   i   -   s   i   -   -,,Chacon2018
1927,1927,nũkajʈika,tell105,false,expert,Chacon2018,,,Chacon2018
1928,1928,waːko,tell104,false,expert,Chacon2018,-   -   -   w   -   -   -   a ː   k   o   -   -   -   -,,Chacon2018
1929,1929,kaʐo noaku,tell104,false,expert,Chacon2018,k   a   ʐ   o   #   n   o   a   k   u   -   -   -   -,,Chacon2018
1930,1930,nunuako,tell104,false,expert,Chacon2018,-   -   -   n   u   n   u   a   k   o   -   -   -   -,,Chacon2018
1931,1931,wakonĩpɛ,tell104,false,expert,Chacon2018,# N A M E ?,,Chacon2018
1932,1932,najanʊkanuki,tell1630,false,expert,Chacon2018,,,Chacon2018
1933,1933,ʰɾiẽnahã,that1632,false,expert,Chacon2018,-   -   -   -   -   ɾ ʰ   i   ẽ   n   a   h   ã,,Chacon2018
1934,1934,hia,that1698,false,expert,Chacon2018,,,Chacon2018
1935,1935,hietahɐ̃,that1632,false,expert,Chacon2018,# N A M E ?,,Chacon2018
1936,1936,hietehi,that1632,false,expert,Chacon2018,# N A M E ?,,Chacon2018
